"Your ""ID""", [mango], [banana chocolate], [black cherry], [apple pie], [coconut], [chocoloate], [mint chip], [peach], [French vanilla], [coffee], [lime], [lemon], [eggnog], [ginger], [avacado], [sea salt caramel], [pistachio], [strawberry], [butter pecan], [vanilla chai], [blueberry], [smurf], [rose], [peanut butter], [malaga], [pineapple], [melon], [orange], [chocolate chip cookie dough], [rocky road], [strawberry cheesecake], [peppermint], [cotton candy], [lemon custard], [hazelnut], [tiramisu], [gingerbread], [green tea], [pear], [guava], [pomegranate], [papaya], [pink grapefruit], [kiwi], [bubble gum], [stracciatella], [jalapeño], [watermelon], [grape], [fudge ripple]
Abrah,4,4,4,5,4,5,3,5,5,3,4,4,3,4,4,4,4,4,4,2,3,1,3,4,3,5,4,4,3,2,5,4,2,4,4,5,4,4,4,3,3,3,3,3,3,4,3,4,4,2
Lange,4,3,1,5,4,4,5,2,4,2,4,4,,4,3,2,4,3,2,4,2,4,3,4,3,3,5,3,5,,5,4,5,5,3,1,4,3,4,,3,4,3,2,4,4,4,4,4,5
lutzz,5,4,2,4,2,5,,2,5,3,5,4,1,2,3,5,1,4,2,3,3,3,5,1,2,3,2,3,5,5,5,1,2,4,3,5,4,3,4,1,4,3,4,2,1,4,1,3,3,5
brugg,3,5,2,5,4,5,4,3,4,4,2,1,1,2,1,1,4,5,4,3,2,1,2,1,,1,4,2,5,5,4,3,2,1,5,5,3,3,4,,2,1,3,4,1,5,1,5,4,5
bouma,5,2,4,4,3,4,2,4,4,2,4,4,2,2,5,5,4,4,3,4,4,5,4,3,2,4,3,3,5,4,4,2,3,3,3,4,3,3,3,2,1,2,2,3,4,4,3,3,4,5
abder,3,3,2,3,1,4,3,3,4,3,5,5,1,1,1,4,4,4,3,4,3,2,3,3,3,3,3,4,5,3,4,2,2,3,3,4,3,3,4,3,2,3,3,2,1,5,1,2,2,3
vanha,5,4,3,2,4,5,,2,4,5,4,4,,3,1,3,4,1,,3,4,,2,1,4,1,3,3,5,5,3,1,,3,5,5,5,5,3,,3,,3,3,1,5,4,3,2,
tersm,1,5,1,5,2,2,4,3,4,3,2,2,1,1,1,5,5,5,1,3,1,4,1,1,1,1,1,1,5,2,5,3,4,1,3,1,3,2,1,1,1,1,1,1,4,2,1,1,1,5
moole,2,1,3,4,2,2,2,3,4,1,5,5,4,2,2,4,2,3,3,4,4,4,3,1,3,2,4,4,5,3,2,2,4,4,3,4,3,2,3,2,4,2,4,4,4,5,1,5,5,3
jaggi,2,5,2,4,3,4,1,3,5,1,3,4,1,1,1,3,3,4,2,4,3,3,4,2,3,2,3,5,4,4,2,2,3,4,5,2,2,2,3,3,3,3,3,3,3,5,1,3,4,4
